sort_rank,recommendation_level,recommendation_score,title,source_no,new_pdf_filename,duplicate_note,venue_year,has_pdf,github_url
,可用,70,scGAAC: A graph attention autoencoder for clustering single-cell RNA-sequencing data,26,,有建议但缺少PDF,2024 / Methods / Elsevier,no,https://github.com/labiip/scGAAC
,可用,70,scSCC: A swapped contrastive learning-based clustering method for single-cell gene expression data,27,,有建议但缺少PDF,2025 / Quantitative Biology,no,
,可用,70,Decoupled GNNs based on multi-view contrastive learning for scRNA-seq data clustering,32,,有建议但缺少PDF,2025 / Briefings in Bioinformatics,no,
,可用,70,ScCCL: Single-Cell Data Clustering Based on Self-Supervised Contrastive Learning,33,,有建议但缺少PDF,2023 / IEEE/ACM TCBB,no,https://github.com/LuckyxiaoLin/ScCCL
,可用,70,Multi-view clustering for single-cell RNA-seq data based on graph fusion,34,,有建议但缺少PDF,2025 / Briefings in Bioinformatics,no,https://github.com/WJ319/scMCGF
,可用,70,scMVAF: a multi-view adaptive fusion clustering approach for single-cell RNA-sequencing data,35,,有建议但缺少PDF,2026 / Briefings in Bioinformatics,no,https://github.com/LQXLE/scMVAF
,可用,70,scVIC: deep generative modeling of heterogeneity for scRNA-seq data,36,,有建议但缺少PDF,2024 / Bioinformatics Advances,no,https://github.com/HiBearME/scVIC
,可用,70,scGANSL: Graph Attention Network with Subspace Learning for scRNA-seq Data Clustering,41,,有建议但缺少PDF,2025 / Journal of Chemical Information and Modeling / ACS,no,https://github.com/szq0816/scMMN
,可用,70,scDFC: A deep fusion clustering method for single-cell RNA-seq data,43,,有建议但缺少PDF,2023 / Briefings in Bioinformatics,no,https://github.com/DayuHuu/scDFC
,可用,70,Integrating feature selection with unsupervised deep embedding for clustering single-cell RNA-seq data,50,,有建议但缺少PDF,2026 / Briefings in Bioinformatics,no,
